name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
芦花公園スカイハイツ 4298万円（3LDK）,中古マンション,4298,66,3LDK,相談,1978年3月,2,SRC10階建,東京都世田谷区千歳台４,京王線,八幡山,16,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71624550/
スターハイツ八幡山 4299万円（2LDK）,中古マンション,4299,56.27,2LDK,即引渡可,1985年2月,5,RC6階建,東京都世田谷区八幡山２,京王線,八幡山,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71386008/
ライオンズマンション上用賀 4380万円（2LDK）,中古マンション,4380,46.75,2LDK,相談,1985年10月,2,RC6階地下1階建,東京都世田谷区上用賀１,東急田園都市線,用賀,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70780480/
グリーンハイム梅丘II 4380万円（1LDK）,中古マンション,4380,45.93,1LDK,相談,2001年4月,2,RC3階建,東京都世田谷区梅丘３-10-23,小田急線,梅ヶ丘,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71714895/
駐車場空有　ペット可　角部屋　フルリノベ　新耐震　２LDK＋出窓２　小中学校５分圏 4380万円（2LDK）,中古マンション,4380,52.52,2LDK,相談,1992年11月,3,RC5階建,東京都世田谷区桜丘２,小田急線,千歳船橋,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71727223/
奥沢センターマンション 4399万円（2LDK）,中古マンション,4399,74.12,2LDK,即引渡可,1970年9月,10,SRC10階建,東京都世田谷区奥沢３,東急目黒線,奥沢,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71502109/
奥沢センターマンション 4399万円（2LDK）,中古マンション,4399,74.12,2LDK,即引渡可,1970年9月,10,SRC10階建,東京都世田谷区奥沢３-47-8,東急目黒線,奥沢,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98294596/
ローヤルマンション三軒茶屋 4400万円（ワンルーム）,中古マンション,4400,44.46,ワンルーム,相談,1975年10月,10,SRC11階地下1階建,東京都世田谷区三軒茶屋２-１４－１０,東急田園都市線,三軒茶屋,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71250930/
柿の木坂パレス 4490万円（1LDK）,中古マンション,4490,50.49,1LDK,相談,1972年3月,8,SRC13階建,東京都世田谷区野沢３-4-18,東急東横線,学芸大学,13,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71505690/
マートルコート奥沢 4499万円（2DK）,中古マンション,4499,47.17,2DK,即引渡可,1984年4月,2,RC5階建,東京都世田谷区奥沢３-13-12,東急目黒線,奥沢,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71258665/
野沢ビューグリーン 4499万円（2LDK）,中古マンション,4499,56.7,2LDK,即引渡可,1973年4月,5,SRC11階建,東京都世田谷区野沢４-15-7,東急田園都市線,駒沢大学,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71449356/
野沢ビューグリーン 4499万円（2LDK）,中古マンション,4499,56.7,2LDK,相談,1973年4月,5,SRC11階建,東京都世田谷区野沢４,東急田園都市線,駒沢大学,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71446563/
