name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url,latitude,longitude
弦巻パビリオン 3980万円（2LDK）,中古マンション,3980,48.78,2LDK,相談,1970年3月,5.0,RC7階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71540294/,35.6368497,139.6394707
上馬ハイホーム 3980万円（2LDK）,中古マンション,3980,54.86,2LDK,即引渡可,1969年5月,12.0,SRC14階建,東京都世田谷区上馬２-15-1,東急田園都市線,駒沢大学,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71524108/,35.636925,139.6656373
朝日ラ・パリオ等々力台 3980万円（1LDK）,中古マンション,3980,39.38,1LDK,相談,1997年1月,2.0,SRC9階地下1階建,東京都世田谷区等々力３,東急大井町線,等々力,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71685313/,35.6102942,139.6490352
玉川サンケイハウス南棟 3980万円（3LDK）,中古マンション,3980,64.03,3LDK,即引渡可,1968年4月,4.0,RC4階建,東京都世田谷区上用賀１-1-1,東急田園都市線,用賀,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70795977/,35.6314867,139.6372173
上馬ハイホーム 3980万円（2LDK）,中古マンション,3980,54.86,2LDK,即引渡可,1969年5月,12.0,SRC14階建,東京都世田谷区上馬２,東急田園都市線,駒沢大学,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71661245/,35.6379334,139.6649795
朝日ラ・パリオ等々力台 3980万円（1LDK）,中古マンション,3980,39.38,1LDK,即引渡可,1997年1月,2.0,SRC9階建,東京都世田谷区等々力３-21-19,東急大井町線,等々力,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71669506/,35.6117451,139.6475606
馬事公苑前ハイム１号棟 3980万円（3LDK）,中古マンション,3980,86.11,3LDK,相談,1968年9月,3.0,RC11階建,東京都世田谷区上用賀２,東急田園都市線,用賀,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71691505/,35.6377247,139.6330952
弦巻パビリオン 3980万円（2LDK）,中古マンション,3980,48.78,2LDK,相談,1970年3月,5.0,RC7階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71605975/,35.6368497,139.6394707
三軒茶屋ダイヤモンドマンション 3999万円（1LDK）,中古マンション,3999,44.13,1LDK,即引渡可,1977年5月,2.0,RC3階建,東京都世田谷区三宿１,東急田園都市線,三軒茶屋,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71604038/,35.6489207,139.6751861
グリーンキャピタル三軒茶屋 3999万円（2LDK）,中古マンション,3999,47.84,2LDK,相談,1976年9月,4.0,RC6階建,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71520602/,35.6413753,139.6649795
