区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認証保育園,グローバルキッズ 上野毛園,東京都,世田谷区（69.9％）,東京都世田谷区上野毛1-26--6 上野毛駅ビル2階,,,,,,,30,,生後43日~ 小学校就学前,7:30:00,21:00:00,,,35.61193,139.6389726,"35.61193,139.6389726",上野毛,2
認証保育園,ナーサリールーム ベリーベアー用賀,東京都,世田谷区（69.9％）,東京都世田谷区用賀2-27-1 大東京ビル3階,,,,,,,32,,生後1か月~ 小学校就学前,7:30:00,21:30:00,,,35.6246377,139.638076,"35.6246377,139.638076",用賀,9
認証保育園,用賀プチ・クレイシュ,東京都,世田谷区（69.9％）,東京都世田谷区用賀4-3-11 ハッピービルド2階,,,,,,,30,,生後3か月~ 小学校就学前,7:00:00,20:00:00,,,35.6272676,139.6345894,"35.6272676,139.6345894",用賀,3
認証保育園,はじまり はじまり えん niko,東京都,世田谷区（69.9％）,東京都世田谷区玉川1-15-6-103 二子玉川ライズ・プラザモール,,,,,,,37,,生後43日~ 2歳児,7:30:00,20:30:00,,,35.6098695,139.6321589,"35.6098695,139.6321589",二子玉川,9
認証保育園,ポピンズナーサリー スクール二子玉川,東京都,世田谷区（69.9％）,東京都世田谷区玉川3-17-1 玉川高島屋S・C西館1・2階,,,,,,,40,,生後57日~ 小学校就学前,7:00:00,23:00:00,,,35.6170878,139.6261512,"35.6170878,139.6261512",二子玉川,11
認証保育園,小学館アカデミー ふたこたまがわ保育園,東京都,世田谷区（69.9％）,東京都世田谷区玉川3-34-2 リオ・ヴェルデ2階,,,,,,,36,,生後57日~ 2歳児,7:30:00,22:00:00,,,35.6158776,139.6237394,"35.6158776,139.6237394",二子玉川,10
認証保育園,パパルキッズルーム,東京都,世田谷区（69.9％）,東京都世田谷区玉川3-43-1,,,,,,,36,,生後57日~ 小学校就学前,7:30:00,21:30:00,,,35.6149588,139.6218989,"35.6149588,139.6218989",二子玉川,11
認証保育園,グローバルキッズ 用賀園,東京都,世田谷区（69.9％）,東京都世田谷区瀬田4-28-12 パラッシオ用賀1階,,,,,,,20,,生後43日~ 小学校就学前,7:30:00,21:00:00,,,35.6221211,139.6291507,"35.6221211,139.6291507",用賀,12
認証保育園,ポピンズナーサリー スクール桜新町,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-8-1 世田谷目黒農協ビル4階,,,,,,,23,,生後57日~ 小学校就学前,7:00:00,22:00:00,,,35.6319584,139.6451056,"35.6319584,139.6451056",桜新町,3
認証保育園,ナーサリーさくらキッズ,東京都,世田谷区（69.9％）,東京都世田谷区新町3-21-3,,,,,,,30,,生後57日~ 2歳児,7:00:00,20:00:00,,,35.6323315,139.6466838,"35.6323315,139.6466838",桜新町,4
認可外保育施設,託児ルーム バンビーノ,東京都,世田谷区（69.9％）,東京都世田谷区梅丘1-20-9 梅ヶ丘プラザ2F,,,,,,,17,,,8:00:00,19:00:00,,,35.6554944,139.6543163,"35.6554944,139.6543163",梅ヶ丘,3
認可外保育施設,ほいくルーム・すずらん,東京都,世田谷区（69.9％）,東京都世田谷区尾山台3-9-2 プロスパーきむら1階,,,,,,,15,,,8:00:00,21:00:00,,,35.6037144,139.6529611,"35.6037144,139.6529611",尾山台,6
認可外保育施設,ロハスキッズ・センター クローバー,東京都,世田谷区（69.9％）,東京都世田谷区玉川1-3-2,,,,,,,64,,,7:30:00,20:30:00,,,35.6086772,139.630087,"35.6086772,139.630087",二子玉川,9
